Año,Acelerómetro,Frecuencia (Hz),Sensibilidad (mV/m/s2)
2018,4519,1,9.949
2018,4519,1.25,10.041
2018,4519,1.6,10.100
2018,4519,2,10.118
2018,4519,2.5,10.136
2018,4519,3.15,10.134
2018,4519,4,10.128
2018,4519,5,10.120
2018,4519,6.3,10.108
2018,4519,8,10.094
2018,4519,10,10.077
2018,4519,12.5,10.070
2018,4519,16,10.052
2018,4519,20,10.038
2018,4519,25,10.017
2018,4519,31.5,9.992
2018,4519,40,9.972
2018,4519,50,9.971
2018,4519,63,9.954
2018,4519,80,9.936
2018,4519,100,9.928
2018,4519,125,9.910
2018,4519,160,9.881
2018,4519,200,9.841
2018,4519,250,9.864
2018,4519,315,9.828
2018,4519,400,9.815
2018,4519,500,9.784
2018,4519,630,9.765
2018,4519,800,9.747
2018,4519,1000,9.729
2018,4519,1250,9.709
2018,4519,1600,9.689
2018,4519,2000,9.675
2018,4519,2500,9.661
2018,4519,3150,9.674
2018,4519,4000,9.714
2018,4519,5000,9.742
2018,4519,6300,9.825
2018,4519,8000,9.993
2018,4519,10000,10.310
2019,4519,1,9.950
2019,4519,1.25,10.050
2019,4519,1.6,10.104
2019,4519,2,10.123
2019,4519,2.5,10.137
2019,4519,3.15,10.143
2019,4519,4,10.129
2019,4519,5,10.128
2019,4519,6.3,10.109
2019,4519,8,10.098
2019,4519,10,10.085
2019,4519,12.5,10.072
2019,4519,16,10.056
2019,4519,20,10.041
2019,4519,25,10.021
2019,4519,31.5,9.998
2019,4519,40,9.975
2019,4519,50,9.980
2019,4519,63,9.961
2019,4519,80,9.945
2019,4519,100,9.938
2019,4519,125,9.911
2019,4519,160,9.891
2019,4519,200,9.849
2019,4519,250,9.871
2019,4519,315,9.836
2019,4519,400,9.818
2019,4519,500,9.785
2019,4519,630,9.768
2019,4519,800,9.748
2019,4519,1000,9.734
2019,4519,1250,9.717
2019,4519,1600,9.699
2019,4519,2000,9.685
2019,4519,2500,9.663
2019,4519,3150,9.682
2019,4519,4000,9.716
2019,4519,5000,9.745
2019,4519,6300,9.830
2019,4519,8000,9.999
2019,4519,10000,10.311
2020,4519,1,9.950896173
2020,4519,1.25,10.03981363
2020,4519,1.6,10.09753124
2020,4519,2,10.12064714
2020,4519,2.5,10.13695384
2020,4519,3.15,10.13424656
2020,4519,4,10.12570985
2020,4519,5,10.12884037
2020,4519,6.3,10.11298593
2020,4519,8,10.09822722
2020,4519,10,10.0757235
2020,4519,12.5,10.07813499
2020,4519,16,10.05710034
2020,4519,20,10.04677369
2020,4519,25,10.0180541
2020,4519,31.5,9.989968425
2020,4519,40,9.977934119
2020,4519,50,9.964412924
2020,4519,63,9.955035184
2020,4519,80,9.935806804
2020,4519,100,9.925013618
2020,4519,125,9.904865596
2020,4519,160,9.88479959
2020,4519,200,9.839955343
2020,4519,250,9.871174479
2020,4519,315,9.833234224
2020,4519,400,9.817436621
2020,4519,500,9.784750935
2020,4519,630,9.764911004
2020,4519,800,9.751061663
2020,4519,1000,9.727120103
2020,4519,1250,9.711368536
2020,4519,1600,9.69390506
2020,4519,2000,9.679246988
2020,4519,2500,9.668251745
2020,4519,3150,9.681962592
2020,4519,4000,9.704662726
2020,4519,5000,9.737399873
2020,4519,6300,9.824585803
2020,4519,8000,9.99297453
2020,4519,10000,10.31358736
2021,4519,1,9.951711711
2021,4519,1.25,10.04343021
2021,4519,1.6,10.09847664
2021,4519,2,10.11638564
2021,4519,2.5,10.13720084
2021,4519,3.15,10.13950038
2021,4519,4,10.13478961
2021,4519,5,10.12312579
2021,4519,6.3,10.11968784
2021,4519,8,10.09148685
2021,4519,10,10.09224504
2021,4519,12.5,10.0796013
2021,4519,16,10.05406898
2021,4519,20,10.04745747
2021,4519,25,10.02555535
2021,4519,31.5,9.998394004
2021,4519,40,9.97053248
2021,4519,50,9.97640449
2021,4519,63,9.957886231
2021,4519,80,9.943546762
2021,4519,100,9.944113762
2021,4519,125,9.911244102
2021,4519,160,9.880154235
2021,4519,200,9.84267876
2021,4519,250,9.861283762
2021,4519,315,9.835119018
2021,4519,400,9.816629427
2021,4519,500,9.790970851
2021,4519,630,9.769560174
2021,4519,800,9.747962137
2021,4519,1000,9.730487925
2021,4519,1250,9.714143617
2021,4519,1600,9.699475966
2021,4519,2000,9.674666736
2021,4519,2500,9.667451386
2021,4519,3150,9.678482643
2021,4519,4000,9.714531387
2021,4519,5000,9.748471282
2021,4519,6300,9.83501015
2021,4519,8000,9.997744417
2021,4519,10000,10.30956339
2022,4519,1,9.944074818
2022,4519,1.25,10.04172366
2022,4519,1.6,10.10051175
2022,4519,2,10.12498308
2022,4519,2.5,10.12495947
2022,4519,3.15,10.13080893
2022,4519,4,10.13775929
2022,4519,5,10.12352551
2022,4519,6.3,10.10803365
2022,4519,8,10.09525134
2022,4519,10,10.07931566
2022,4519,12.5,10.06636033
2022,4519,16,10.04674979
2022,4519,20,10.02961465
2022,4519,25,10.01216789
2022,4519,31.5,9.990349126
2022,4519,40,9.967799219
2022,4519,50,9.964341084
2022,4519,63,9.956649436
2022,4519,80,9.935116942
2022,4519,100,9.933612518
2022,4519,125,9.914935784
2022,4519,160,9.885206306
2022,4519,200,9.841904745
2022,4519,250,9.859263498
2022,4519,315,9.825024932
2022,4519,400,9.816152338
2022,4519,500,9.785893488
2022,4519,630,9.753124919
2022,4519,800,9.748295194
2022,4519,1000,9.731252814
2022,4519,1250,9.717098985
2022,4519,1600,9.677772278
2022,4519,2000,9.666110998
2022,4519,2500,9.655895693
2022,4519,3150,9.66794886
2022,4519,4000,9.717320944
2022,4519,5000,9.743084444
2022,4519,6300,9.822069785
2022,4519,8000,9.985854891
2022,4519,10000,10.30213185
